id,title,category,facts,decision_summary,court,year,provisions
1,The charge created in respect of municipal property tax by section 212 of the Ci,police_related,"The charge created in respect of municipal property tax by section 212 of the City of Bombay Municipal Act, 1888, is an ""annual charge not being a capital charge"" within the mean ing of section 9 (1) (iv) of the Indian Income tax Act, 199.2, and the amount of such charge should therefore be deducted in computing the income from such property for the purposes of section 9 of the Indian Income tax Act. The charge in respect of urban immoveable property tax created by the Bombay Finance Act, 1939 is similar in character and the amount of such charge should also be deducted.","The expression ""capital charge"" in s.9(1) (iv) means a charge created for a capital sum,that is to say, a charge created to. ' secure the discharge of a liability of a capi tal nature; and an ""annual charge"" means a charge to secure an annual liabili ty. 554",,1949,
2,"The question whether a Magistrate is ""personally interested"" in a ease within th",police_related,"The question whether a Magistrate is ""personally interested"" in a ease within the meaning of section 556, Criminal Procedure Code, has essentially to be decided the facts of each case. Where an officer as a District Magistrate exercising his powers under section 7(1) of the Essential Supplies (Temporary Powers) Act, 1946, sanctioned the prosecution of a person for violation of sections 3 and 7 of the Assam Food Grains Control Order, 1947, and the same officer as Additional District Magistrate tried and convicted the accused, and it was contended that as the officer had given sanction for prosecution he was ""personally interested"" in the case within the meaning of section 656, Criminal Procedure Code, and the trial and conviction were therefore illegal: Held, that bymerely giving sanction for prosecution he did not become personally interested"" in the case and the trial and conviction were not illegal.","In both cases of sanction and direction to prosecute, an application of the mind is necessary, but there is this essential difference that in the one case there is a legal impediment to the prosecution if there is no sanction and in the other case there is a positive order that the prosecution should be launched. For a sanction, all that is necessary for one to be satisfied about is the existence of a prima facie case. In the case of a direction, a further element that the accused deserves to be prosecuted is involved. Whether sanction should be granted or not may conceivably depend considerations extraneous to the merits of the case. But where a prosecution is directed, it means that the authority who gives the sanction is satisfied in his own mind that the case must be initiated. Sanction is in the nature of a permission, while direction is in the nature of a command. Gokulchand Dwarka Das vs The King , Government of Bengal vs Heera Lall Dass and Others (1872) 17 W. R. Cr. 39, Queen Empress vs Chenchi Reddi (1901) I.L.R. , Girish Chunder vs Queen Empress (1893) I.L.R. , and Emperor vs Ravji , referred to.",,1951,
3,The appellant was a member of a joint Hindu family which carried on the business,police_related,"The appellant was a member of a joint Hindu family which carried on the business of Government stockists of grain under a contract with the Government of Bihar. His nomination for election to the Bihar Legislative Assembly was rejected on the ground that he was disqualified under section 7(d) of the Representation of the People Act, 195T, as he had an interest in a contract for the performance of services undertaken by the Bihar Government.","The appellant contended that the service undertaken by the Government was the sale of foodgrains under the Grain Supply Scheme and the contract was not for the sale of such foodgrains and did not attract the provisions of section 7(d). Held, that the contract was not one for the performance of any service undertaken by the Government and the appellant was not disqualified under section 7(d). A contract of bailment which imposed on the bailee the obligation to stock and store the foodgrains in his godowns was not a contract for the purpose of the service of sale of grain which the Government had undertaken. The Government had undertaken the work of supplying grain but the contract was not one for the supply of grain. N. Satyanathan vs K. Subramanyam, ; and V. V. Ramaswamy vs Election Tribunal, Tirunelveli, , distinguished.",,1960,
4,"The appellant, who was working as a Loco Foreman, was found to have accepted a s",police_related,"The appellant, who was working as a Loco Foreman, was found to have accepted a sum of Rs. 375 from a Railway Contractor.","The appellant 's explanation was that he had borrowed the amount as he was in need of money for meeting the expenses of the clothing of his children who were studying in school, The Special judge accepted the evidence of the contractor and held that the money had been taken as a bribe, that the defence story was improbable and untrue, that the presumption under section 4 Of the Prevention of Corruption Act had to be raised and that the presumption had not been rebutted by the appellant and accordingly convicted him under section 161 Indian Penal Code and section 5 Of the Prevention of Corruption Act, 1947. On appeal the High Court held that on the facts of the case the statutory presumption under section 4 had to be raised, that the explanation offered by the appellant was improbable and palpably unreasonable and that the presumption had not been rebutted, and upheld the conviction. The appellant contended (i) that section 4 was ultra vires as it contravened article 14 of the Constitution, (ii) that the presumption under section 4 could not be raised merely on proof of acceptance of money but it had further to be proved that the money was accepted as a bribe, (iii) and that even if the presumption arose it was rebutted when the appellant offered a reasonably probable explanation. Held, that section 4 of the Prevention of Corruption Act did not violate article 14 Of the Constitution. The classification of public servants who were brought within the mischief of section 4 was based on intelligible differentia which had a rational relation to the object of the Act, viz,, eradicating bribery and corruption amongst public servants. Ram Krishna Dalmia vs Shri justice section R. Tendolkar; , , followed. A. section Krishna vs The State of Madras, ; , referred to. The presumption under section 4 arose when it was shown that the accused had received the stated amount and that the said amount was not legal remuneration. The word "" gratification ' 593 in section 4(1) was to be given its literal dictionary meaning of satisfaction of appetite or desire ; it could not be construed to mean money paid by way of a bribe. The High Court was justified in raising the presumption against the appellant as it was admitted that he had received the money from the contractor and the amount received was other than legal remuneration. State vs Pundlik Bhikaji Ahire, and Promod Chander Shekhar vs Rex, I.L.R. 1950 All. 382, approved. The State vs Abhey singh, A.I.R. 1957 Raj. 138 and State vs Pandurang Laxman Parab, , disapproved. Even if it be assumed that the presumption arising under section 4(1) could be rebutted by the accused giving an explanation which was a reasonably probable one the High Court was right in holding that the explanation given by the appellant was wholly unsatisfactory and unreasonable. Otto George Gfeller vs The King, A.I.R. 1943 P.C. 211 and Rex vs Cary Briant, (1943) I K.B. 607, referred to.",,1958,
5,During the search of the premises of the appellant No.,police_related,During the search of the premises of the appellant No. 1 a complete working still was found which was being worked by the appellant No.,"1 and his servant, appellant No. 2. The presidency Magistrate was satisfied that a working still and 516 illicit liquor were found. The appellant No. 1 was examined under section 342 of the Code of Criminal Procedure, he volunteered the statement that he did not know anything of the contraband seized by the police ; so no specific question about the still and other articles recovered from his premises were put by the Presidency Magistrate who convicted the appellants under sections 65(b), 65(f) & 66(b) of the Bombay Prohibition Act, relying on the facts of the recovery of still and illicit liquor and did not use the provision of section 103 for presumption against the appellants. The appellants on appeal by special leave contended, (1) that no presumption under section 103 of the Act could arise ; and that he had been denied the opportunity to rebut the presumption under section 103 of the Act, as no questions were put to them when they were examined under section 342 of the Code of Criminal Procedure (3) that as the Magistrate had not used the provision of section 103 for presumption against the appellants, the High Court ought not to have convicted the appellants on the presumption arising under section 103 of the Act without giving them an opportunity to rebut the same. On behalf of appellant No. 2 it was further urged that he was merely a servant of appellant No. 1; if any one was in possession of the still it was appellant No. 1 and no presumption against him could arise under section 103 of the Act. Held, that when an accused is examined under section 342 of the Code of Criminal Procedure and volunteers statement denying all knowledge of articles recovered from his possession, no prejudice is caused to him if no further questions are put to explain the possession of articles found in the premises occupied by him. The presumption which arises under section 103 of the Bombay Prohibition Act is that an offence under the Act is committed when a person is found in mere possession, without further evidence, of any still, utensil, implement or apparatus whatsoever for the manufacture of such intoxicant until contrary is proved. Thus no prejudice was caused to the appellant No. 1 when the High Court relied upon the presumption arising under section 103 of the Act to uphold his conviction under section 65(f) of the Act. Held, further, that it cannot be said of merely an employee in the premises that he was in physical possession of the things belonging to his master unless they were left in his custody, Where an offence under section 65(f) of the Bombay Prohibition Act has not been established beyond reasonable doubt and the possession of still does not amount to an offence under the section no presumption could arise under section 103 of the Act against a person that he was in possession of the still for which he could not account satisfactorily. In the instant case the still being in the possession of the master and there being no evidence that the employee in any 517 way aided his master to come into possession of the still, it could not be said that the appellant No. 2 was in such possession of the still as would amount to an offence under section 65(f) of the Act.",,1959,
6,"One Sharda Singh, respondent, who was an employee of the appellant mills was dis",police_related,"One Sharda Singh, respondent, who was an employee of the appellant mills was dismissed for disobeying the orders of the managing authority. He filed an application before the Industrial tribunal under section 33 A of the , contesting his dismissal on various grounds, whereupon the tribunal passed an order to the effect that as an interim measure the respondent be permitted to work in the appellant mills and if the management failed to take him back his full wages be paid from the date he reported for duty.","The appellant mills then filed a Writ Petition before the High Court contesting the interim order of the Tribunal and the High Court held that the interim relief granted to the respondent was justified. On appeal by a certificate of the High Court, Held, that the interim order passed by the tribunal reinsta ting the respondent was erroneous. Such an interim relief could not be given by the Tribunal as it would amount to prejudging the respondents ' case and granting him the whole relief at the outset without deciding the legality of his dismissal after hearing the appellant employer. The Management, Hotel Imperial and Ors. vs Hotel Workers ' Union, ; , and Punjab National Bank vs All India Punjab National Bank Employees ' Federation, A.I.R. , referred to.",,1959,
7,The petitioners challenged the constitutional validity of the Orissa Mining Area,police_related,"The petitioners challenged the constitutional validity of the Orissa Mining Areas Development Fund Act, 1952, which by section 3 empowered the State Government to constitute mining areas for the purpose of providing them with certain amenities after hearing objections from the lessees, by section 4 to impose and collect a cess not exceeding 5% of the valuation of the minerals at the pit 's mouth and by section 5 created a fund to which the cess was to be credited. The petitioners ' case, inter alia, was that the impugned Act and the rules made thereunder were ultra vires the powers of the State Legislature, the cess levied thereunder was not a fee but a duty of excise on coal within Entry 84 of List I of the Seventh Schedule to the Constitution and repugnant to Coal Mines Labour Welfare Fund Act, 1947 (Act XXXII of 1947), and, alternatively, even supposing it was a fee relatable to Entries 23 and 66 of List II, it was hit by Entry 54 of List I read with the Mines and Minerals (Regulation and Development) Act 1948 (Act LIII of 1948), or by Entry 52 of List I read with the Industries (Development and Regulation) Act, 1951 (Act LXV of 1951).","It was urged on behalf of the State, inter alia, that the cess was a fee and not a duty of excise and the competence of the State Legislature to levy it was not affected by the Central Acts. Held (per Gajendragadkar, Sarkar, Subba Rao and Mudholkar, JJ.), that the cess imposed by the Act was a fee relatable to Entries 23 and 66 of List II of the Seventh Schedule to the Constitution and the Constitutional validity of the impugned Act was beyond question. Although there can be no generic difference between a tax and a fee since both are compulsory exactions of money by public authorities, there is this distinction between them that whereas a tax is imposed for public purposes and requires no consideration to support it, a fee is levied essentially for services rendered and there must be an element of quid pro quo between the person 538 who pays it and the public authority that imposes it. While a tax invariably goes into the consolidated fund, a fee is earmarked for the specified services in a fund created for the purpose. Whether a cess is one or the other would naturally depend on the facts of each case. If in the guise of a fee, the Legislature imposes a tax, it is for the Court on a scrutiny of the scheme of the levy, to determine its real character. The distinction is recognised by the Constitution which while empowering the appropriate Legislatures to levy taxes under the Entries in the three lists refers to their power to levy fees in respect of any such matters, except the fees taken in court, and tests have been laid down by this Court for determining the character of an impugned levy. Matthews vs Chicory Marketing Board, ; , The Commissioner, Hindu Religious Endowments, Madras vs Sri Lakshmindra Thirtha Swamiar of Sri Shirur Mutt, ; , Mahant Sri Jagannath Ramanuj Das & Any. vs The State of Orissa, ; , and Ratilal Panachand Gandhi vs The State of Bombay, [1954] S.C.R. 1055, referred to. P. P. Kutti Keva & Ors. vs The State of Madras, A.I.R. , Attorney General for British Columbia vs Esquimalt and Nanaimo Railway Co., and Parton & Any. vs Mils Board (Victoria), (1949) 80 C.L.R. 229, considered and held inapplicable. In determining whether a levy is a fee the true test must be whether its primary and essential purpose is to render specific services to a specified area or class, it being of no consequence that the State may ultimately and indirectly be benefited by it. So judged, the scheme of the impugned Act leaves no manner of doubt that the levy authorised by it is a fee and not a tax. The amount of the levy must depend on the extent of the services sought to be rendered and if they are proportionate, it would be unreasonable to say that since the impost is high it must be a duty of excise. The rate specified by section 4(2) of the Act, therefore, cannot by itself alter the character of the levy and constitute a trespass by the State Legislature on the legislative powers of the Parliament under Entry 84 of the List I. Nor can the method prescribed by the Legislature for re covering the levy by itself alter its character. The method is a matter of convenience and, though relevant, has to be tested in the light of other relevant circumstances. It is not permissible to challenge the vires of a statute relatable to an Entry in List II solely on the ground that the method adopted for the recovery of the impost can and generally is adopted in levying a duty of excise. Ralla Ram vs The Province of East Punjab, , Byramjee Jeejeebhoy vs The Province of Bombay & Anr. I.L.R. 539 and Governor General in Council vs Province of Madras, (1945) 'L.R. 72 I.A. 91, considered. The limitation imposed by the latter part of Entry 23 of List II is a limitation on the legislative competence of the State ' Legislature itself and the test whether a statute passed by the State Legislature thereunder was ultra vires would be whether the requisite declaration under Entry 54, List I, has been made by Parliament by law covering the same field or not; it is not necessary in order to make the declaration effective that rules should also be made and enforced. Although by operation of article 372 of the Constitution Act LIII of 1948 was an existing Act substantially covering the same field as covered by the impugned Act, there was no adaptation of section 2 of that Act whereby a declaration implied by it could be said to have been adapted to a declaration by Parliament. Clause 16 of the Adaptation of Laws Order, 1950, properly construed, cannot be held to refer to the Dominion Legislature and equate it with the Parliament. It can be resorted to only where the existing law expressly refers to some authority that can be equated with the corresponding new authorities. Since the Dominion Legislature was not so referred to, its competence under the Constitution Act of 1935, repealed by the Constitution of India, was clearly outside the clause. Nor can Cl. 21 of the order be of any help to the petitioners. Consequently, in the absence of the requisite Parliamentary declaration, the competence of the Orissa State Legislature under Entry 23 read with Entry 66 of the List II was not impaired and the impugned Act must be deemed to have repeal ed the Central Act, so far as that State was concerned. This case incidentally discloses that in regard to the requisite Parliamentary declaration prescribed by Entry 54 in List I in its application to the pre constitution Acts under corresponding Entry 36 in List I of the Constitution Act of 1935, there is a lacuna which has not been covered by any clauses of the Adaptation of Laws Order, 1950. Nor was the impugned Act ultra vires the State Legislature by operation of Entry 52 of List I read with section 2 of the Industries (Development and Regulation) Act, 1951 (LXV of 1951). That Act, in pith and substance, deals more directly with the control of certain specified industries including the coal industry, while the impugned Act is concerned with the development of the mining areas notified under it. The field covered by the two Acts was not, therefore, the same. per Wanchoo, J. In order to determine whether a levy is a tax or a fee, what has to be considered is the pith and sub stance of the levy. Where the levy in pith and substance is not essentially different from a tax, it cannot be converted into a fee by crediting it to a special fund and attaching certain services to it. 540 The Commissioner, Hindu Religious Endowments, Madras, vs Sri Lakshmindra Thirtha Swamiar of Sri Shirur Mutt, ; , Mahant Sri Jaannath Ramanuj Das vs The State of Orissa, ; and Ratilal Panachand Gandhi vs The State of Bombay, [1954] S.C.R. 1055, discussed. A duty of excise in pith and substance is primarily a duty levied on a manufacturer or producer in respect of the commodity manufactured or produced. It is different and distinct from a sales tax and in law they do not overlap. Governor General in Council vs Province of Madras, 72 I.A. 91, referred to. What the impugned Act did was to provide for the levying of the cess on the goods produced at a rate not exceeding five per centum of the value at the pit 's mouth. The cess was, therefore, in pith and substance a duty of excise falling within Entry 84 of List I, which the State legislature could not levy. It was not correct to say that the method employed by the impugned Act for realising the cess was a mere method of quantification and did not affect its character which was that of a fee. In the present case the very mode of the levy of the cess is nothing other than the levy of a duty of excise, and, therefore, the principle of quantification for purposes of a fee could not be so extended as to convert what was in pith and substance a tax into a fee. Sri Byramjee Jeejeebhoy vs The Province of Bombay, I.L.R. , Municipal Corporation, Ahmedabad vs Patel Gor dhandas Hargovandas, I.L.R. and Ralla Ram vs The Province of East Punjab, , considered. K. C. Gajapati Narayan Deo vs The State of Orissa, ; , referred to. The cess levied under section 4 of the Act could not be justified as a tax on mineral rights under Entry 50 of List II of the Seventh Schedule and the impugned Act was in effect a colourable piece of legislation.",,1959,
8,The appellants were shareholders of a company known as Navjivan Mills Ltd.,police_related,The appellants were shareholders of a company known as Navjivan Mills Ltd. which held a large number of shares of the Bank of India.,"The Bank with the object of increasing their share capital offered some more shares to the Mills for a price including premium which was about half the market value. The Mills purchased a small number of the shares so offered with their own funds and distributed their right to acquire the remaining shares to their shareholders in the proportion of two shares of the Bank for one share held by them. The assessment of the appellant was reopened by the Income Tax Officer under section 34(1)(a) of the Income tax Act on the footing that the release of the right to the shares of the Bank of India amounted to distribution of dividend. Appeals against the order of the Income Tax Officer having failed, the High Court at the instance of the appellants framed the following question: ""Whether on the facts and circumstances of the case, the distribution of the right to apply for the shares of the Bank of India by Navjivan Mills Ltd. in favour of the assessees amounted to a distribution of ""dividend""? 585 The High Court answered the question in the affirmative. On appeal with a certificate of the High Court, Held, that the view taken by the High Court was correct. The distribution to the shareholders of the Mills of the right to obtain two shares of the Bank of India for each share held by them at half the market value amounted to distribution of ""dividend"" which was liable to be taxed.",,1957,
9,The appellants were detained under r.,police_related,"The appellants were detained under r. 30(l) of the Defence of India Rules made by the Central Government under section 3 of the Defence of India Ordinance, 1962.","They applied to the Punjab and Bombay High Courts under section 491(1)(b) of the Code of Criminal Procedure and their case was that sections 3(2)(15)(i) and 40 of the Defence of India Act, 1962, and r. 30(1)(b) of the Defence of India Rules, which were continued under the Act, were unconstitutional and invalid inasmuch as they contravened their fundamental rights under articles 14, 21, 22(4), (5) and (7) of the Constitution and that, therefore, they should be set at liberty. The High Courts held that the Presidential Order which had been issued on November 3, 1962, under article 359(1) of the Constitution, after a declaration of emergency under article 352, consequent on the Chinese invasion of India, barred their right to move the said petitions and dismissed them. These appeals raised two common questions in this Court, (1) what was the true scope and effect of the Presidential Order issued under article 359(1), and (2) did the bar created by the Order operate in respect of the applications under section 491(1)(b) of the Code. The Presidential Order was as follows: ""G.S.R. 1464 In exercise of the powers conferred by cl. (1) of article 359 of the Constitution, the President hereby declares that the right of any person to move any court for the enforcement of the right conferred by article 21 and article 22 of the Constitution shall remain suspended for the period during which the Proclamation of Emergency issued under clause (1) of article 352 thereof on the 26th October 1962 is in force, if such person has been deprived of any such rights under the Defence of India Ordinance, 1962 (4 of 1962) or any rule or order made thereunder. "" By a later amendment of the Order article 14 was incorporated into it. 798 Held:(per Gajendragadkar, Sarkar, Wanchoo, Hidayatullah, Das Gupta and Shah, JJ.) that the proceedings taken by the appellants in the High Courts under section 491(1)(b) of the Code were hit by the Presidential Order and must be held to be incompetent. Article 359 of the Constitution was not capable of two interpretations and it was, therefore not necessary to decide the controversy raised by the parties as to whether that Article should be interpreted in favour of the President 's power granted by it or the fundamental rights of the citizens. The King (At the Prosecution of Arthur Zadig) vs Halliday, ; , Liversidge vs Sir John Anderson, ; , Keshav Talpade vs The King Emperor, [1943] F.C.R. 49, Nakkuda Ali vs M. F. De section Jayaratne, and King Emperor vs Vimalabal Deshpande, L.R. 73 1. A. 144, considered. The words 'any court ' in article 359(1), construed in their plain grammatical meaning, must mean any court of competent jurisdiction including ' the Supreme Court and the High Courts before which the rights specified in the Presidential Order can be enforced. It was not correct to say that the use of the words was necessary so as to include such other courts as might be empowered in terms of article 32(3). Nor was it correct to say that the words could not include a High Court as its power to issue a writ under article 226(1) was discretionary. In judging whether a particular proceeding fell within the purview of the Presidential Order the determining factor was not its form nor the words in which the relief was couched but the substance of it. If in granting the relief the court had to consider whether any of the fundamental rights mentioned in the Presidential Order, had been contravened, the proceeding was within the Order, whether it was under article 32(l) or 226(1) of the Constitution. The right to move the court for writ of habeas corpus under section 491(1)(b) of the Code of Criminal Procedure was now a statutory right and could no longer be claimed under the common law. Girindra Nath Banerjee vs Birendra Nath Pal I.L.R. 54 Cal. 727, District Magistrate, Trivandrum vs K. C. Mammen Map pillai, I.L.R. , Matthen vs District Magistrate, Trivandrum L.R. 66 I.A. 222 and King Emperor vs Sibnath Banerji, L.R. 72 I.A. 241, referred to. Since the promulgation of the Constitution the two methods by which a citizen could enforce his right of personal freedom were (i) by a writ under article 226(1) or article 32(l), or (ii) under section 491(1)(b) of the Code of Criminal Procedure. Whichever method he adopted if the right he sought to enforce was a fundamental right guaranteed by the Constitution the matter must, come within article 359(1) of the Constitution. That the court could exercise its power under section 491(1)(b) suo motu could make no 799 difference and articles 372, 225 or 375 could provide no valid ground of attack. The suspension of the right to move any court, as under the Presidential Order, must necessarily suspend the Court 's jurisdiction accordingly. The right to challenge a detention order under section 491(1)(b) of the Code had been enlarged by the fundamental rights guaranteed by the Constitution and when a detenu relied upon such rights in his petition under that section he was in substance seeking to enforce his fundamental rights. The prohibition contained in article 359(1) and the Presidential Order must, therefore, apply. The expression ""right to move any court"" in article 359(1) and the Presidential Order takes in all legal actions, filed or to be filed, in which the specified rights are sought to be enforced and covers all relevant categories of jurisdictions of competent courts under which the said actions would other wise have been normally entertained and tried. Sree Mohan Chowdhury vs Chief Commissioner Union Territory of Tripura, ; , referred to. Even though the impugned Act may be invalid by reason of contravention of articles 14, 21 and 22, as contended by the appellants, that invalidity could not be challenged during the period prescribed by the Presidential Order and it could not be said that the President could not because of such invalidity issue the order. Where, however, the challenge to the validity of the detention order was based on any right other than those mentioned in the Presidential Order, the detenu 's right to move any court could not be suspended by the Presidential Order because the right was outside article 359(1). Where again the detention was challenged on the ground that it contravened the mandatory provisions of the relevant act or that it was malafide and was proved to be so and in all cases falling under the other categories of section 491(1) of the Code excepting those under section 491(1)(b), the bar of the Presidential Order could have no application. So also the plea that the operative provision of the law under which the order of detention was made suffered from the vice of excessive delegation, was an independent plea not relatable to the fundamental rights mentioned in the Presidential Order and its validity had to be examined. The plea that section 3(2)(15)(i) and section 40 of the impugned Act suffered from excessive delegation must fail. The legislative policy was broad stated in the preamble and the relevant provisions of sections 3(1) and 3(2) gave detailed and specific guidance to the rule making authority and it was not correct to say that the Act had by the impugned sections delegated essentially legislative function to that authority. Rule 30(1)(b) which was consistent with the operative provisions of the Act could not also be challenged on that ground. 800 In "" The etc. ; , Harishankar Bagla vs The State of Madhya Pradesh, , Bhatanagars and Co. Ltd., vs The Union of India, ; , relied on. The impugned Act could not also he struck down as a piece of colourable legislation because the , was already on the Statute book. The Parliament had power under Entry 9, List I of the Seventh Schedule to the Constitution and if in view of the grave threat to the security of India it passed the Act, it could not be said to have acted malafide. If the Parliament thought that the executive would not be able to detain citizens reasonably suspected of prejudicial activities by a recourse to the , which provided for the required constitutional safeguards and the impugned Act which it enacted did not, it could not be suggested that it was acting malafide. Even if the impugned Act contravened articles 14 and 22 and the detentions thereunder were invalid, article 359(1) and the Presidential Order, which were precisely meant to meet such a situation, barred investigation on the merits during the period prescribed by the Order. The proceeding under section 491(1)(b) of the Code is one pro ceeding and the sole relief that can be claimed under it is release from the detention. If that could not be claimed because of the Presidential Order it was unreasonable to say that a mere declaration that the impugned Act and the detention thereunder were invalid could be made. Such a declaration is clearly outside the purview of section 491(1)(b) of the Code as also of articles 226(1) and 32(l) of the Constitution. The period for which the emergency should continue and the restrictions that should be imposed during its continuance are matters that must inevitably be left to the executive. In a democratic state the effective safeguard against any abuse of power in peace as also in emergency is the existence of enlightened, vigilant and vocal public opinion. Liversidge vs Sir John Anderson, [19421 A.C. 206, referred to. The inviolability of individual freedom and the majesty of law that sustains it are equally governed by the Constitution which has made this Court the custodian of the fundamental rights on the one hand and, on the other, provided for the declaration of the emergency. Consequently, in dealing with the right of a citizen to challenge the validity of his detention, effect must be given to article 359(1) and the Presidential Order issued under it. The right specified in that Article must be held to include such right whether constitutional or constitutionally guaranteed and the words ""any court"" must include the Supreme Court and the High Court. The Punjab and the Bombay High Courts were, therefore right in their decision that the applications under section 491(1)(b) of 801 the Code were incompetent in so far as they sought to challenge the validity of the detentions on the ground that the Act and the Rules under which the orders were made contravened articles 14, 21 and 22(4)(5) and (7) of the Constitution. Per Subba Rao, J. It was clear that section 3(2)(15)(i) of the Defence of India Act, 1962, and r. 30(1)(b) made under the Act contravened the relevant provisions of article 22 of the Constitution and were, therefore, void. Deep Chand vs The State of Uttar Pradesh, [1959] Supp. 2 S.C.R. 840, Mahendra Lal vs State of U.P., A.I.R. 1963 S.C. 1019, A. K. Gopalan vs State of Madras, ; , referred to. Under the Constitution, every person has a right to move the Supreme Court, the High Courts or any other court or courts constituted by the Parliament under article 32(3) for the enforcement of fundamental rights in the manner prescribed. But while the right to move the Supreme Court is a guaranteed right, the right to move the others is not so. Article 359, properly construed, meant that the bar imposed by the Presidential Order applied not only to the guaranteed right to move the Supreme Court but also the rights to move the other courts under article 32 and article 226 of the Constitution. There is no new rule of construction peculiar to war measures. It is always the same, whether in peace or in war. The fundamental rule is that the courts have to find out the expressed intention of the Legislature from the words of the enactment itself. Words must be given their natural and ordinary meaning unless there is ambiguity in the language in which case the court has to adopt that meaning which furthers the intention of the Legislature. A constitutional provision such as article 359, however, cannot be given a strained construction to meet a passing phase such as the present emergency. Rex vs Halliday, L.R. [19171 A.C. 260, Liversidge vs Sir John Anderson; , , Nakkuda A1i vs jayaratna, , Gibbon vs Ogden, (1824) 6 L. Ed. 23, discussed. Section 491 of the Code of Criminal Procedure is wide in its terms and gives a discretionary power to the High Courts. Unlike articles 32 and 226, the exercise of the power is not channelled through procedural writs or orders and their technicalities cannot circumscribe the court 's discretion. Girindra Nath Banerjee vs Birendra Nath Pal, (1927) I.L.R. , District Magistrate, Trivandrum vs Mammen Mappillai, I.L.R. , Matten vs District Magistrate, Trivandrum, L.R. (1939) 66 I.A. 222, referred to. Section 491 is continued by article 372 and article
225 preserves 802 the jurisdiction of the High Court. The power it confers on the High Court is not inconsistent either with article 32 or article 226 or any other Article of the Constitution and the section cannot, therefore, be said to have been impliedly superseded even to the extent article 226 empowers the High Court to give relief in cases of illegal detention. Though remedial in form the section postulates the existence of the substantive right that no person can be deprived of his liberty except in the manner prescribed by law. It assumes the existence of the rule of law and empowers High Court to act suo motu. The rights, substantive and procedural conferred by it arc different from those under articles 32 or 226 of the Constitution. It places the onus on the custodian to prove that the detention is legal and although in scrutinising the legality of the detention the court may have to consider whether the law offends any fundamental rights, that cannot make the proceeding one for the enforcement of fundamental rights or the decision anything but one on the unconstitutionality of a law because of infringement of fundamental rights generally. The mode of approach to the High Court under section 491 of the Code or the nature of the relief given thereunder cannot be equated with those under the Constitution. The absolute discretionary jurisdiction under it cannot be put on a par with the jurisdiction under article 226 which is hedged in by constitutional limitations. Alam Khan vs The Crown, Lahore 274, Ramji Lal vs The Crown, I.L.R. (1949) 11 E.P. 28, King Emperor vs Vimlabai Deshpande, (1946) L.R. 73 I.A. 144, referred to. While section 491 gives no right to enforce fundamental rights, operating as it does as a check on arbitrary action, article 359 is concerned not with statutory powers but deals with the constitutional right and the constitutional enforcement of it. It was not, therefore, correct to say that article 359 would be frustrated if section 491 was allowed to stand for Parliament might amend that section any time it liked. The expression ""right to move any court for enforcement of such of the rights conferred by Part 111"" in article 359 must refer only to the right to move under article 32 or article 226 for the said specific relief and could not be applied to the exercise of the statutory power of the High Courts under section 491 of the Code and, consequently, the expression ""all proceedings pending in any court for the enforcement of the rights"" must refer to the proceedings initiated in exercise of that right. The detenus could not, therefore, enforce their fundamental rights under articles 21, 32 and 14 while the Presidential Order lasted, but that did not affect the High Court 's power under section 491 of the Code. The President 's Order cannot bar the detenus from proving even under articles 32(l) and 226 that the detentions were not made 803 under the Defence of India Ordinance or the Act as they were outside the Ordinance or the Act or in excess of the power conferred by them or that the detentions were made malafide or in fraudulent exercise of power.",,1963,
10,"By a notification dated November 2, 1864, a piece of land forming part of the Pa",police_related,"By a notification dated November 2, 1864, a piece of land forming part of the Panchannagram Estate which was permanently settled under Regulation 1 of 1793, was acquired by the Government of Bengal at the instance of the justices of the Peace for the Town of Calcutta, which was a corporation established under the provisions of the Calcutta Municipal Act, 1863, and the justices were required to pay the compensation payable to the proprietor of the Estate. After the acquisition, the proprietor of the Estate was granted abatement of land revenue assessed on the Estate to the extent of Rs.","386 7 1, being the proportionate land revenue on the land acquired. On October 27, i865, the Government called upon the justices to pay a sum of Rs. 7,728 13 8, which represented the amount capitalised at 20 years ' purchase of land revenue attributed to the area acquired. On December 5, i870, the Secretary of State executed in favour of the justices of the Peace a conveyance of the land acquired, which stated, inter alia, that it was ""ever free and clear and for ever discharged from all Government land revenue whatever or any payment or charge in the nature thereof to the end and intent that the said land may be used for a public purpose, namely, for the conservancy of the town."" On January 23, 1880, a lease of the land was granted by the Justices to the predecessors in title of the appellant, under which the lessee had the right to carry on cultivation with the aid of sewage. Before the income tax authorities the appellant claimed that the agricultural income derived by him from the land was not liable to income tax, but the claim was rejected on the ground that on the payment of a lump sum in 1865 the liability to pay land revenue was redeemed and no land revenue was demanded thereafter; consequently, the income derived from the land was not agricultural income within the meaning of section 2(1) of the Indian Income tax Act, 1922, and was not, therefore, exempt from tax. The appellant 's contention was that the redemption only saved the justices from liability for payment but did not affect the assessability of the land to revenue under Regulation 1 of 1793. 599 Held, that by the down payment of a lump sum in 1865 the entire land revenue to be recovered from the land was redeemed and the land became free from land revenue assessment in perpetuity, as completely as if there was no assessment. Thereafter, the land could not be said to be assessed to land revenue within the meaning of section 2(1) of the Indian Income tax Act, 1922, and, consequently, the income derived therefrom could not be considered to be agricultural income under that section. The Collector of Bombay vs Nusserwanji Rattanji Mistri and others; , , distinguished.",,1957,
